id,referencia,score_calidad,etapa_comercial,tipo_oportunidad,sectores,materiales_detectados,precio_formateado,entidad,departamento,ciudad,modalidad,contratista_nombre,contratista_nit,accion_sugerida,url_secop,descripcion
CO1.REQ.10381967,SE-LP-001-2026 (Presentación de oferta),95,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$13,292,211,865 COP",DEPARTAMENTO DE CORDOBA,Córdoba,Montería,Licitación pública,CONSORCIO CORDOBA NUTRE,902067860,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10239350,IMPLEMENTACIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR -PAE- EN LOS ESTABLECIMIENTOS EDUCATIVOS OFICIALES DE LOS 27 MUNICIPIOS NO CERTIFICADOS DEL DEPARTAMENTO DE CÓRDOBA
CO1.REQ.9825062,02-2026,95,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$4,848,966,024 COP",MUNICIPIO DE MARINILLA,Antioquia,Marinilla,Contratación régimen especial (con ofertas),Fundacion Accion Solidaria Por Colombia,No Definido,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9673718,"Aunar esfuerzos técnicos, administrativos, financieros y logísticos para la ejecución del Programa de Alimentación Escolar (PAE) en el Municipio de Marinilla, Antioquia, a través del cual se brinda un complemento alimentario y nutricional a los niños"
CO1.REQ.11034299,ESAL-002-2026-2,95,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$3,149,207,403 COP",ALCALDIA DE CAUCASIA,Antioquia,Caucasia,Contratación régimen especial (con ofertas),No Definido,No Definido,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10888480,"PRESTACIÓN DE SERVICIOS PARA LA IMPLEMENTACIÓN DEL PROGRAMA DE
ALIMENTACIÓN ESCOLAR PAE-, PARA LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LA 
MATRICULA OFICIAL DEL MUNICIPIO DE CAUCASIA - ANTIOQUIA, PARA LA VIGENCIA
2026-2"
CO1.REQ.11011357,PROCESO COMPETITIVO N° 001 DE 2026,95,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$1,349,652,350 COP",ALCALDIA DE SAN JUAN DE URABA,Antioquia,No Definido,Contratación régimen especial (con ofertas),FUNDACION ILUSION EN GRANDE,No Definido,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10865716,"AUNAR ESFUERZOS TECNICOS ADMINISTRATIVOS Y FINANCIEROS PARA LA EJECUCIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - (PAE), PAR LOS NIÑOS, NIÑAS, ADOLESCENTES Y JÓVENES DE LA MATRICULA OFICIAL DEL MUNICIPIO DE SAN JUAN DE URABA, ANTIOQUIA EN EL AÑO 2026. "
CO1.REQ.10988098,CI-011-2026,95,Adjudicado (Contratista Seleccionado),Lead B2B de Venta Directa,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$1,043,921,154 COP",ALCALDIA MUNICIPAL SAN CARLOS,Antioquia,San Carlos,Contratación Directa (con ofertas),La Provincia de La Paz,901250504,Contactar al contratista ganador/consorcio para ofrecer suministro y cotización inmediata.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10842382,"EJECUTAR EL PROGRAMA DE ALIMENTACIÓN ESCOLAR EN EL MARCO DEL CONVENIO INTERADMINISTRATIVO No. 4600019333 CUYO OBJETO CONTRACTUAL ES:  INTEGRAR ESFUERZOS PARA LA EJECUCIÓN DEL PROGRAMA DE   ALIMENTACIÓN ESCOLAR - PAE, PARA LOS NIÑOS, NIÑAS Y ADOLESCEN"
CO1.REQ.10716474,SE-LP-002-2026,90,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$46,171,655,466 COP",DEPARTAMENTO DE CORDOBA,Córdoba,Montería,Licitación pública,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10572556,"IMPLEMENTACIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR - PAE- EN LOS ESTABLECIMIENTOS EDUCATIVOS OFICIALES DE LOS 27 MUNICIPIOS NO
CERTIFICADOS DEL DEPARTAMENTO DE CÓRDOBA"
CO1.REQ.11057665,LOP-EICE-AMV-001-2026,90,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,"fotovoltaica, energía solar","$9,443,936,281 COP",EMPRESA INDUSTRIAL Y COMERCIAL DEL ESTADO AREA METROPOLITANA DE VALLEDUPAR E.I.C.E. AMV,Cesar,Valledupar,Licitación pública Obra Publica,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10914544,INSTALACIÓN DE SISTEMAS DE ENERGÍA SOLAR FOTOVOLTAICA EN ZONAS NO INTERCONECTADAS DEL MUNICIPIO DE PUEBLO BELLO DEPARTAMENTO DEL CESAR
CO1.REQ.11061608,No. OB-039-2026,90,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,"fotovoltaica, energía solar","$5,058,459,462 COP",FONER,Valle del Cauca,Cali,Contratación régimen especial,INGENIEROS & ARQUITECTOS CONSTRUCTORES S.A.S,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10917086,"CONSTRUCCIÓN DE SISTEMAS AUTÓNOMOS DE GENERACIÓN DE ENERGÍA SOLAR FOTOVOLTAICA PARA LA ENERGIZACIÓN DE VIVIENDAS EN LAS ZONAS RURALES NO INTERCONECTADAS DEL MUNICIPIO DE CÉRTEGUI, CHOCÓ, IDENTIFICADO CON CÓDIGO BPIN NO. 2026271600001"
CO1.REQ.11043283,LP-004-2026 (Presentación de oferta),90,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,HORECA & Maquinaria Gastronómica,"alimentación escolar, pae","$1,716,380,090 COP",MUNICIPIO DE CHIGORODO,Antioquia,Chigorodó,Licitación pública,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10898394,"OPERACIÓN DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR A TRAVÉS DEL CUAL SE BRINDE UNA RACIÓN ALIMENTICIA A LOS NIÑOS, NIÑAS Y ADOLESCENTES DE LAS INSTITUCIONES OFICIALES (lEO) DEL MUNICIPIO DE CHIGORODÓ BENEFICIARIOS DEL PROGRAMA DE ALIMENTACIÓN ESCOLAR -PA"
CO1.REQ.10964839,500-OS- 2197-2026,90,Licitación Abierta (En Ofertas),Oportunidad de Alianza / Cotización,Energía Solar & Alumbrado Público,"alumbrado publico, alumbrado público","$1,240,372,309 COP",EMPRESAS MUNICIPALES DE CALI,Valle del Cauca,Cali,Contratación régimen especial,No Definido,No Definido,Compartir la oportunidad con clientes aliados para que presenten oferta incluyendo nuestros suministros.,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10831940,"Prestación de servicios de cuadrillas para la atención, reparación, adecuación y restablecimiento de las condiciones de funcionamiento del Sistema de Alumbrado Público SALP, mediante la ejecución de actividades operativas y técnicas requeridas para a"
